30-24 1 4 10
30-25 0 5 10
30-26 1 6 10
30-27 0 7 10
30-28 1 8 10
30-29 0 9 10
30-30 1 10 10
30-31 0 11 10
30-32 1 12 10
30-33 0 13 10
30-34 1 14 10
30-35 0 15 10
30-36 1 16 10
30-37 0 17 10
30-38 1 18 10
30-39 0 19 10
30-40 1 20 10
31-21 1 1 11
31-22 0 2 11
31-23 1 3 11
31-24 0 4 11
31-25 1 5 11
31-26 0 6 11
31-27 1 7 11
31-28 0 8 11
31-29 1 9 11
31-30 0 10 11
31-31 1 11 11
31-32 0 12 11
31-33 1 13 11
31-34 0 14 11
31-35 1 15 11
31-36 0 16 11
31-37 1 17 11
31-38 0 18 11
31-39 1 19 11
31-40 0 20 11
32-21 0 1 12
32-22 1 2 12
32-23 0 3 12
32-24 1 4 12
32-25 0 5 12
32-26 1 6 12
32-27 0 7 12
32-28 1 8 12
32-29 0 9 12
32-30 1 10 12
32-31 0 11 12
32-32 1 12 12
32-33 0 13 12
32-34 1 14 12
32-35 0 15 12
32-36 1 16 12
32-37 0 17 12
32-38 1 18 12
32-39 0 19 12
32-40 1 20 12
33-21 1 1 13
33-22 0 2 13
33-23 1 3 13
33-24 0 4 13
33-25 1 5 13
33-26 0 6 13
33-27 1 7 13
33-28 0 8 13
33-29 1 9 13
33-30 0 10 13
33-31 1 11 13
33-32 0 12 13
33-33 1 13 13
33-34 0 14 13
33-35 1 15 13
33-36 0 16 13
33-37 1 17 13
33-38 0 18 13
33-39 1 19 13
33-40 0 20 13
34-21 0 1 14
34-22 1 2 14
34-23 0 3 14
34-24 1 4 14
34-25 0 5 14
34-26 1 6 14
34-27 0 7 14
34-28 1 8 14
34-29 0 9 14
34-30 1 10 14
34-31 0 11 14
34-32 1 12 14
34-33 0 13 14
34-34 1 14 14
34-35 0 15 14
34-36 1 16 14
34-37 0 17 14
34-38 1 18 14
34-39 0 19 14
34-40 1 20 14
35-21 1 1 15
35-22 0 2 15
35-23 1 3 15
35-24 0 4 15
35-25 1 5 15
35-26 0 6 15
35-27 1 7 15
35-28 0 8 15
35-29 1 9 15
35-30 0 10 15
35-31 1 11 15
35-32 0 12 15
35-33 1 13 15
35-34 0 14 15
35-35 1 15 15
35-36 0 16 15
35-37 1 17 15
35-38 0 18 15
35-39 1 19 15
35-40 0 20 15
36-21 0 1 16
36-22 1 2 16
36-23 0 3 16
36-24 1 4 16
36-25 0 5 16
36-26 1 6 16
36-27 0 7 16
36-28 1 8 16
36-29 0 9 16
36-30 1 10 16
36-31 0 11 16
36-32 1 12 16
36-33 0 13 16
36-34 1 14 16
36-35 0 15 16
36-36 1 16 16
36-37 0 17 16
36-38 1 18 16
36-39 0 19 16
36-40 1 20 16
37-21 1 1 17
37-22 0 2 17
37-23 1 3 17
37-24 0 4 17
37-25 1 5 17
37-26 0 6 17
37-27 1 7 17
37-28 0 8 17
37-29 1 9 17
37-30 0 10 17
37-31 1 11 17
37-32 0 12 17
37-33 1 13 17
37-34 0 14 17
37-35 1 15 17
37-36 0 16 17
37-37 1 17 17
37-38 0 18 17
37-39 1 19 17
37-40 0 20 17
38-21 0 1 18
38-22 1 2 18
38-23 0 3 18
38-24 1 4 18
