8 6 21-25
8 7 21-27
8 8 21-29
8 9 29-31
8 10 29-33
8 11 29-35
8 12 22-32
8 13 22-34
8 14 22-36
8 15 22-38
8 16 22-40
8 17 29-25
8 18 29-27
8 19 29-29
8 20 22-22
8 21 22-24
8 22 22-26
8 23 22-28
8 24 22-30
8 25 29-21
8 26 29-23
8 27 28-40
8 28 38-32
8 29 38-34
8 30 38-36
8 31 38-38
8 32 38-40
9 1 32-22
9 2 32-24
9 3 32-26
9 4 32-28
9 5 32-30
9 6 32-32
9 7 32-34
9 8 32-36
9 9 30-36
9 10 30-38
9 11 30-40
9 12 40-32
9 13 40-34
9 14 40-36
9 15 40-38
9 16 40-40
9 17 30-30
9 18 30-32
9 19 30-34
9 20 40-22
9 21 40-24
9 22 40-26
9 23 40-28
9 24 40-30
9 25 30-24
9 26 30-26
9 27 30-28
9 28 21-31
9 29 21-33
9 30 21-35
9 31 21-37
9 32 21-39
10 1 35-25
10 2 35-27
10 3 35-29
10 4 35-31
10 5 35-33
10 6 35-35
10 7 35-37
10 8 35-39
10 9 35-21
10 10 35-23
10 11 34-30
10 12 34-32
10 13 34-34
10 14 34-36
10 15 34-38
10 16 34-40
10 17 34-22
10 18 34-24
10 19 34-26
10 20 34-28
10 21 33-33
10 22 33-35
10 23 33-37
10 24 33-39
10 25 33-21
10 26 33-23
10 27 33-25
10 28 33-27
10 29 33-29
10 30 33-31
10 31 32-38
10 32 32-40
11 1 M11-T1-S
11 2 M11-T2-S
11 3 M11-T3-S
11 4 M11-T4-S
11 5 M11-T6-S
11 6 M11-T7-S
11 7 M11-T8-S
11 8 M11-T9-S
11 9 M10-T1-S
11 10 M10-T2-S
11 11 M10-T3-S
11 12 M10-T4-S
11 13 M10-T1-C
11 14 M10-T2-C
11 15 M10-T3-C
11 16 M10-T4-C
11 17 T1
11 18 T2
11 19 Veto
11 20 null_11_20
11 21 T1Nim
11 22 T2Nim
11 23 VetoNim
11 24 Coin
11 25 M11-T1-C
11 26 M11-T2-C
11 27 M11-T3-C
11 28 M11-T4-C
11 29 M11-T6-C
11 30 M11-T7-C
11 31 M11-T8-C
11 32 M11-T9-C
12 1 28-34
12 2 24-22
12 3 24-24
12 4 36-30
12 5 36-32
12 6 36-34
12 7 36-36
12 8 36-38
12 9 31-33
12 10 31-35
12 11 31-37
12 12 31-39
12 13 36-22
12 14 36-24
12 15 36-26
12 16 36-28
12 17 31-21
12 18 31-23
12 19 31-25
12 20 31-27
12 21 31-29
12 22 31-31
12 23 37-37
12 24 37-39
12 25 37-21
12 26 37-23
12 27 37-25
12 28 37-27
12 29 37-29
12 30 37-31
12 31 37-33
12 32 37-35
13 1 33-22
13 2 33-24
13 3 33-26
13 4 33-28
13 5 33-30
13 6 33-32
13 7 33-34
13 8 33-36
13 9 M5-T1-C
13 10 M5-T2-C
13 11 M5-T4-C
13 12 null_13_12
13 13 null_13_13
13 14 M5-T1-S
13 15 M5-T2-S
13 16 M5-T4-S
13 17 null_13_17
13 18 M5-T3-S
13 19 null_13_19
